;entrypoints E71v42
;$TA$ 13.02.07
;245 штук
ORA_HOMESCREEN --- A06E8655
ORG_APPOINTMENT --- A06E7749
ORG_APPOINT_NEW --- A06E77C3
ORG_CALENDAR --- A06E7741
ORG_NOTES --- A06E777D
ORG_NOTE_NEW --- A06E77D9
ORG_TASKS --- A06E7763
ORG_TIME_ZONES --- A06E77E1
OWN_GREETING --- A06E7DAD
PHONECOD_CHANGE --- A06E8417
PHONE_IDENTITY --- A06E81A7
PIN2_CHANGE --- A06E845A
PIN_CHANGE --- A06E83F3
PIN_CODES --- A06E83A7
PIN_CONTROL --- A06E83E3
POCKET_LAMP --- A06E85CF
PREF_NETWORK --- A06E8465
PRESENCE_MGR --- A06E7849
PROSLIDE_LOCK --- A06E8359
RADIO --- A06E8613
REC_CHARGE_MENU --- A06E7263
REC_CHARGE_SETT --- A06E726B
REC_DELETE_LIST --- A06E725B
REC_DIALED_LIST --- A06E7253
REC_MENU --- A06E7239
REC_MISSED_LIST --- A06E7243
REC_RECEIV_LIST --- A06E724B
REMOTE_SAT --- A06E781D
REMOTE_SYNCHRON --- A06E77B1
SAT --- A06E7813
SCREENSAVER --- A06E7D73
SETUP_ACCESSORY --- A06E84E5
SETUP_CALL --- A06E80B1
SETUP_CLOCK --- A06E827F
SETUP_CNCT --- A06E7F75
SETUP_DISPLAY --- A06E7DFD
SETUP_FAXDATA --- A06E7F7F
SETUP_FILESYST --- A06E81D1
SETUP_NETWORK --- A06E84B5
SETUP_PHONE --- A06E81C7
SETUP_RINGTONES --- A06E7D23
SETUP_SECURITY --- A06E83D9
SETUP_SHORTCUTS --- A06E8029
SHOW_CLOCK --- A06E825B
SOUND_RECORDER --- A06E785D
START_OF_WEEK --- A06E8237
STOPWATCH --- A06E7945
SYSTEM_VOLUME --- A06E7B25
SYSTEM_VOL_DOWN --- A06E85C3
SYSTEM_VOL_UP --- A06E85B7
T9_EXPORT --- A06E80F7
T9_IMPORT --- A06E80EF
TEST_APP_APM --- A06E7A9F
TEXT_INPUT --- A06E80D5
THEMES --- A06E7D2D
THIS_SIM_ONLY --- A06E83AF
TIME_DATE --- A06E81DB
TIME_FORMAT --- A06E8213
TIME_ZONES --- A06E81ED
TONES_ON_OFF --- A06E85FB
TONE_CALLS --- A06E7B75
TONE_CBS --- A06E7C03
TONE_EMAIL --- A06E7C1F
TONE_GAMES --- A06E7CB7
TONE_IMPS --- A06E7C9B
TONE_ORGANISER --- A06E7C6B
TONE_SHUTDOWN --- A06E7CE7
TONE_SMS_MMS --- A06E7BE7
TONE_STARTUP --- A06E7CD3
TONE_WALKYTALKY --- A06E7BAD
UNIT_CONVERTER --- A06E7837
UPDATE_TIME --- A06E826D
USER_GROUP --- A06E84AD
USER_PROFILES --- A06E7B1D
VIBRATION --- A06E7E5F
VIBRA_LIGHT --- A06E7E21
VOICE_MESSAGE --- A06E75D5 (VOICE_MSG_START)
VOICE_MSGCHANGE --- A06E75DF
WALLPAPER --- A06E7D37
WALLPAPER_EXT --- A06E7D4B
WT_SESSION_VIEW --- A06E79D9




































